,page_num,left,right,top,bottom,confidence,text,closest_color_word_id,closest_color_dist
86,0,1519,1712,984,1048,95,Colin,word_000013,0.0
87,0,1754,2073,986,1048,96,Summit,word_000014,0.0
88,0,2109,2313,986,1048,95,Suite,word_000015,0.0
89,0,2353,2500,985,1048,96,078,word_000016,0.0
91,0,1282,1440,1088,1149,92,Port,word_000017,0.0
92,0,1477,2108,1085,1165,90,"Christianburgh,",word_000018,0.0
93,0,2146,2252,1088,1148,94,VT,word_000019,0.0
94,0,2285,2537,1086,1149,94,47901,word_000020,0.0
98,0,1282,1451,1226,1290,96,Ford,word_000022,0.0
99,0,1492,1634,1226,1290,96,and,word_000023,0.0
100,0,1676,1870,1228,1290,96,Sons,word_000024,0.0
102,0,1281,1533,1328,1391,96,31647,word_000025,0.0
103,0,1575,1743,1329,1391,96,Diaz,word_000026,0.0
104,0,1782,2070,1327,1391,96,Islands,word_000027,0.0
106,0,1282,1450,1431,1492,93,East,word_000028,0.0
107,0,1486,1951,1428,1506,90,"Sharonfurt,",word_000029,0.0
108,0,1995,2105,1430,1492,95,DC,word_000030,0.0
109,0,2143,2396,1429,1492,95,96069,word_000031,0.0
113,0,1280,1765,1569,1644,93,07/21/2013,word_000034,0.0
117,0,1285,1766,1811,1886,96,10/30/2016,word_000036,0.0
119,0,1280,1743,1953,2016,96,670094950,word_000038,0.0
121,0,1280,1720,2092,2171,90,$15599.45,word_000041,0.0
123,0,1280,1667,2235,2298,90,60111.50,word_000043,0.0
126,0,1282,1321,2378,2439,96,5,word_000046,0.0
130,0,1280,1321,2618,2681,70,0,word_000048,0.0
134,0,1279,1838,2758,2837,50,8JbCm60GQ7,word_000050,0.0
135,0,1879,2392,2758,2838,28,hg99Z9BIJZN,word_000051,0.0
136,0,2433,2927,2758,2822,90,4ePBuzoSkr,word_000052,0.0
137,0,2963,3454,2758,2822,48,b7fVS5onMwil,word_000053,0.0
139,0,1279,1738,2859,2938,68,QZ7uJ8iZIf,word_000054,0.0
140,0,1762,2295,2860,2939,88,jOVDrw9y1G,word_000055,0.0
144,0,1277,1717,3000,3080,91,fRXgifc749,word_000057,0.0
145,0,1760,2294,3000,3064,90,DzhKkZMvnb,word_000058,0.0
146,0,2334,2881,3000,3080,34,777KFWgKab,word_000059,0.0
147,0,2922,3384,3001,3080,25,uovqJiv0aB,word_000060,0.0
151,0,1279,1770,3142,3220,88,QuoisUYX2c,word_000062,0.0
152,0,1807,2299,3142,3221,23,9vPIJDxmlIg,word_000063,0.0
153,0,2342,2793,3141,3221,89,IPZfeqtn20,word_000064,0.0
154,0,2831,3362,3141,3221,66,fsmoggnG7d,word_000065,0.0
156,0,1282,1798,3243,3306,90,BOTSCN8TrE,word_000066,0.0
157,0,1840,2403,3242,3322,80,PcSKgHWOdT,word_000067,0.0
158,0,2440,3001,3243,3321,15,u6BxQwGkK94,word_000068,0.0
159,0,3042,3530,3242,3322,79,MyQQJJIE9a,word_000069,0.0
161,0,1282,1835,3343,3423,91,52QbS9Yq4m,word_000070,0.0
165,0,1279,1784,3546,3625,58,9PYBGJvg61,word_000072,0.0
166,0,1822,2358,3546,3609,20,TTVFNC9OCS5N,word_000073,0.0
167,0,2400,2906,3546,3625,89,s9SweCPC3j,word_000074,0.0
168,0,2948,3501,3546,3624,45,6CwwQicPTY,word_000075,0.0
170,0,1278,1806,3646,3726,52,qk9wMInTyT,word_000076,0.0
171,0,1843,2316,3647,3726,55,2r2a36jOAv,word_000077,0.0
172,0,2351,2863,3646,3726,43,tNUyxaOXhY,word_000078,0.0
173,0,2898,3406,3646,3726,60,o76yhWel76,word_000079,0.0
175,0,1279,1772,3747,3811,87,OkneOkITUN,word_000080,0.0
179,0,1275,1786,3888,3952,72,VcREGIu7hn,word_000082,0.0
180,0,1826,2374,3889,3968,78,X4N7CwqX9s,word_000083,0.0
181,0,2410,2882,3888,3952,76,tPT620FIkX,word_000084,0.0
182,0,2921,3398,3888,3952,77,helvi3YvNa,word_000085,0.0
184,0,1279,1755,3989,4053,20,CiIOADIOIX9,word_000086,0.0
185,0,1797,2304,3989,4053,82,bIbWkLkw1I,word_000087,0.0
186,0,2346,2821,3989,4053,60,h8FOYrYfzx,word_000088,0.0
187,0,2861,3280,3989,4069,53,I3iuejYXs6,word_000089,0.0
189,0,1282,1805,4091,4153,90,Bx2xLEAAKB,word_000090,0.0
193,0,1277,1705,4231,4311,44,t78XkrICjJ,word_000092,0.0
197,0,1278,1835,4373,4436,77,WCLMRI7YNO,word_000094,0.0
198,0,1875,2384,4372,4436,89,8zTcYekbGR,word_000095,0.0
199,0,2424,2937,4374,4436,67,15eDLvVTZx,word_000096,0.0
200,0,2974,3541,4373,4452,89,cwOmGwnjDY,word_000097,0.0
202,0,1278,1833,4474,4537,70,OH1XSWG2nI,word_000098,0.0
203,0,1870,2410,4473,4537,69,Vbvd75u4OK,word_000099,0.0
204,0,2449,2853,4473,4553,85,IgiLhfsBcg,word_000100,0.0
205,0,2895,3435,4473,4552,82,QUwTcOxBb5,word_000101,0.0
209,0,1278,1770,4616,4694,68,g1H7PYiM7J,word_000103,0.0
210,0,1809,2293,4616,4694,89,JtSryKTNEZ,word_000104,0.0
211,0,2334,2867,4614,4678,29,I2ZDNhdV7GE,word_000105,0.0
212,0,2909,3404,4614,4694,90,kj30kQ52nP,word_000106,0.0
214,0,1281,1807,4716,4795,67,nM9cOosMq5,word_000107,0.0
215,0,1850,2388,4715,4795,87,5qZUT91XbD,word_000108,0.0
4,1,569,1231,541,620,52,KMQH8SOTXW,word_000109,0.0
8,1,569,1205,783,862,36,PSEQYDPHJW,word_000117,0.0
10,1,562,1211,924,987,88,VKAW30BZ84,word_000120,0.0
12,1,565,1187,1065,1144,91,SFKSOUQFRN,word_000125,0.0
14,1,562,1143,1206,1269,83,AKZSOP5JJ8,word_000129,0.0
18,1,565,1175,1448,1511,91,9407CB3YAM,word_000136,0.0
22,1,572,1189,1690,1769,91,10JOYMLDQX,word_000143,0.0
24,1,566,1180,1831,1910,91,6MCDYUFIOQ,word_000147,0.0
28,1,563,1130,2073,2136,74,TEE64JXOZC,word_000153,0.0
32,1,569,1191,2315,2378,90,HXABZ4C2HR,word_000159,0.0
36,1,569,1188,2557,2636,62,NGZO3XFNQC,word_000166,0.0
40,1,569,1169,2799,2862,30,EASSERV202,word_000175,0.0
44,1,1278,1794,540,604,88,esnhBPx4Wf,word_000110,0.0
45,1,1826,2320,541,619,89,QtZCELONts,word_000111,0.0
46,1,2359,2883,540,604,91,hnnXzSOY9E,word_000112,0.0
47,1,2925,3446,541,620,70,Pc5p1tOUNR,word_000113,0.0
49,1,1281,1762,641,721,81,p5k5Tq3tKr,word_000114,0.0
50,1,1798,2335,641,720,28,hvh2wCQTmI,word_000115,0.0
51,1,2376,2875,642,705,89,vsVI7YY8BH,word_000116,0.0
55,1,1279,1749,783,862,85,8BVIcjniWn,word_000118,0.0
56,1,1793,2311,783,862,90,pn9UBFur5M,word_000119,0.0
58,1,1281,1773,923,1003,90,pPovICIXOk,word_000121,0.0
59,1,1808,2313,924,987,90,CSTvc9TPsC,word_000122,0.0
60,1,2352,2813,923,1003,88,2dcbIFEjC9,word_000123,0.0
61,1,2856,3345,923,987,82,IXbxd6kCOs,word_000124,0.0
63,1,1282,1778,1064,1128,53,5ZHMtIsbN6,word_000126,0.0
64,1,1816,2381,1064,1128,89,ZOMch4SKMG,word_000127,0.0
65,1,2425,2913,1064,1128,75,5SfR5tICWH,word_000128,0.0
69,1,1281,1857,1205,1269,89,uLdDGoVm5w,word_000130,0.0
70,1,1893,2395,1205,1285,45,tWPAkixXKqx,word_000131,0.0
71,1,2436,2930,1205,1285,90,NjOubKrOy7,word_000132,0.0
72,1,2973,3504,1205,1285,88,Rk8J1Smpnk,word_000133,0.0
74,1,1279,1784,1306,1385,70,S9eKdVQ95I,word_000134,0.0
75,1,1827,2334,1306,1386,52,Qi80FSqedQ,word_000135,0.0
79,1,1282,1780,1447,1511,65,5JKTK8Zzh1,word_000137,0.0
80,1,1822,2287,1447,1511,58,za7POIkl4k,word_000138,0.0
81,1,2322,2836,1447,1527,61,ZFCfgRqM11,word_000139,0.0
82,1,2878,3336,1447,1527,47,ehc4aspThi,word_000140,0.0
84,1,1275,1809,1549,1627,90,AsvQMi5QOn,word_000141,0.0
85,1,1853,2398,1549,1627,90,i57VQQPFOm,word_000142,0.0
89,1,1279,1789,1689,1769,85,8ykBtZbwp3,word_000144,0.0
90,1,1833,2330,1690,1769,76,EV6Kt23Y1q,word_000145,0.0
91,1,2375,2878,1689,1753,41,kTZCaznObx,word_000146,0.0
95,1,1277,1751,1831,1910,89,X2yQjtRtAe,word_000148,0.0
96,1,1793,2289,1830,1910,90,McPMPppkjz,word_000149,0.0
97,1,2325,2797,1830,1910,46,foLqgBKdr9q,word_000150,0.0
98,1,2839,3369,1831,1909,87,CDTUQRiSn5,word_000151,0.0
100,1,1281,1776,1933,2011,24,U11le6Vsq1J,word_000152,0.0
104,1,1278,1804,2072,2136,80,ZfwaBSA7UA,word_000154,0.0
105,1,1835,2409,2072,2152,65,VUKEgmBOUN,word_000155,0.0
106,1,2450,2984,2073,2152,90,4AYvg7E2GB,word_000156,0.0
107,1,3014,3457,2073,2152,85,jtWrp3jpj7,word_000157,0.0
109,1,1282,1784,2173,2253,67,lvtUyMwd9H,word_000158,0.0
113,1,1281,1734,2314,2378,91,hirDr3beTe,word_000160,0.0
114,1,1775,2324,2314,2378,78,MWTV85Bkzt,word_000161,0.0
115,1,2363,2859,2314,2394,79,kKQG8xzyqtF,word_000162,0.0
116,1,2893,3415,2314,2378,90,snLUCfnKmo,word_000163,0.0
118,1,1281,1809,2416,2479,90,n4Z4xZ3EHO,word_000164,0.0
119,1,1847,2315,2416,2495,43,X8jnOgiClI8,word_000165,0.0
123,1,1278,1797,2556,2620,57,wknf63BueZ,word_000167,0.0
124,1,1835,2337,2556,2620,24,cCLHZ7KK5AI,word_000168,0.0
125,1,2380,2883,2556,2636,88,Bgb2PQpS4j,word_000169,0.0
126,1,2924,3369,2556,2636,46,Sxn9Jbjdlib,word_000170,0.0
128,1,1281,1789,2657,2737,84,rpeFKkZOZx,word_000171,0.0
129,1,1829,2331,2657,2721,61,UZiIDCJKGFP,word_000172,0.0
130,1,2365,2899,2658,2737,90,yNnU636KyP,word_000173,0.0
131,1,2933,3440,2658,2737,60,4YMxzyy2xXr,word_000174,0.0
135,1,1282,1806,2798,2878,91,BRDPOvRywl,word_000176,0.0
136,1,1849,2367,2799,2878,89,Qargy1CE3A,word_000177,0.0
137,1,2405,2917,2799,2878,87,B94wgainBK,word_000178,0.0
